,871f90252ffffff,871f90254ffffff,871f9025affffff,871f902e9ffffff,871f902ecffffff,871f915b4ffffff,871f915b5ffffff,871f915b6ffffff,871f90203ffffff,871f90208ffffff,871f90209ffffff,871f9020affffff,871f9020bffffff,871f9020cffffff,871f9020dffffff,871f9020effffff,871f90219ffffff,871f90250ffffff,871f90255ffffff,871f90256ffffff,871f90272ffffff,871f90276ffffff,871f902c4ffffff,871f902c5ffffff,871f902d2ffffff,871f902e0ffffff,871f902e1ffffff,871f902e2ffffff,871f902e3ffffff,871f902e4ffffff,871f902e5ffffff,871f902e6ffffff,871f902eeffffff,871f902f5ffffff,871f90200ffffff,871f90204ffffff,871f90205ffffff,871f902f3ffffff,871f90251ffffff,871f90253ffffff,871f9025cffffff,871f9025dffffff,871f90271ffffff,871f90273ffffff,871f902d0ffffff,871f902d6ffffff,871f93925ffffff,871f90228ffffff,871f9022cffffff,871f9022effffff,871f902c0ffffff,871f9021dffffff,871f9022bffffff,871f90242ffffff,871f9024affffff,871f90258ffffff,871f9025effffff,871f90275ffffff,871f902e8ffffff,871f902edffffff,871f90346ffffff,871f9024cffffff,871f90240ffffff,871f90243ffffff,871f90246ffffff,871f902ccffffff,871f902ebffffff,871f915b2ffffff,871f90229ffffff,871f9022affffff,871f90249ffffff,871f90241ffffff,871f90248ffffff,871f9024bffffff,871f9025bffffff,871f915a4ffffff,871f93924ffffff,871f9024effffff,871f90352ffffff,871f90221ffffff,871f90223ffffff,871f90344ffffff,871f90262ffffff,871f90270ffffff,871f9035bffffff,871f90201ffffff,871f9392cffffff,871f90202ffffff,871f90244ffffff,871f902c6ffffff,871f902cdffffff,871f9035dffffff,871f90274ffffff,871f90358ffffff,871f915b0ffffff,871f90263ffffff,871f90343ffffff,871f9034affffff,871f90259ffffff,871f902f1ffffff,871f90350ffffff,871f902c2ffffff,871f90342ffffff,871f9034effffff,871f90264ffffff,871f9035effffff,871f90266ffffff,871f902eaffffff,871f90359ffffff,871f9035affffff,871f9022dffffff,871f902d5ffffff,871f9035cffffff
871f90253ffffff,108,60,13,19,50,18,5,16,0,10,62,0,19,0,21,5,0,112,21,59,7,0,0,0,0,0,11,0,0,0,18,0,11,0,0,0,0,0,67,420,24,0,0,14,0,0,0,0,0,0,0,0,0,12,15,0,79,0,5,44,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9025cffffff,28,83,7,0,13,9,0,4,0,0,45,0,15,0,13,0,0,51,70,18,15,0,0,0,0,0,6,0,0,0,9,0,10,0,0,0,0,0,106,19,349,134,18,0,0,0,0,0,0,0,0,0,0,58,50,14,92,0,0,9,0,0,13,63,9,0,0,0,0,0,0,6,8,20,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f915b6ffffff,22,27,13,180,36,52,12,511,0,0,7,0,7,0,0,0,0,15,6,0,4,0,0,0,0,0,8,0,0,7,5,0,12,0,0,0,0,0,8,11,7,6,0,4,0,0,0,0,0,0,0,0,0,8,5,0,18,0,28,37,0,0,4,0,6,13,32,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90252ffffff,1264,224,10,20,139,6,0,19,0,7,81,0,61,0,30,5,0,221,38,322,24,4,0,0,0,0,74,0,0,20,95,0,53,0,0,0,0,0,52,99,25,12,0,8,0,0,0,10,0,0,0,0,0,15,7,0,20,0,43,40,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90208ffffff,7,79,0,0,11,0,0,0,27,537,145,69,88,43,130,96,0,23,7,50,25,13,0,0,0,6,0,0,0,7,21,0,5,0,0,0,6,0,11,10,0,0,0,0,0,0,0,10,0,0,0,4,39,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902e0ffffff,7,41,0,0,14,0,0,0,0,9,24,5,31,0,4,0,4,9,11,22,0,0,4,7,0,402,17,50,46,155,21,60,5,26,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902e3ffffff,6,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,11,8,0,39,17,25,110,15,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f90255ffffff,31,500,9,0,31,4,0,0,0,12,161,0,40,7,44,8,0,162,1628,119,66,5,0,0,0,11,9,0,9,10,43,0,0,0,0,0,0,0,232,19,57,25,7,80,0,0,0,0,0,0,0,0,0,82,18,5,31,0,11,8,0,0,13,9,44,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,18,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f902ebffffff,0,6,0,18,26,0,0,28,0,0,6,0,12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,9,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871f9024bffffff,0,12,5,0,4,6,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,20,0,0,0,0,0,0,0,0,0,0,0,5,81,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,9,136,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
